model,frame_id,fps,latency_ms,precision,recall,f1,mAP,avg_confidence,num_detections
YOLOv8,212,21.28,47.0,0.0,0.0,0.0,0.0,0.6423,3
YOLOv8,213,17.51,57.1,0.0,0.0,0.0,0.0,0.5346,4
YOLOv8,214,19.3,51.81,0.0,0.0,0.0,0.0,0.6488,3
YOLOv8,215,19.65,50.88,0.0,0.0,0.0,0.0,0.6333,3
YOLOv8,216,18.11,55.22,0.0,0.0,0.0,0.0,0.5513,4
YOLOv8,217,17.99,55.59,0.0,0.0,0.0,0.0,0.805,2
YOLOv8,218,17.93,55.77,0.0,0.0,0.0,0.0,0.6224,3
YOLOv8,219,20.22,49.44,0.0,0.0,0.0,0.0,0.6252,3
YOLOv8,220,17.16,58.27,0.0,0.0,0.0,0.0,0.543,4
YOLOv8,221,17.22,58.07,0.0,0.0,0.0,0.0,0.4916,5
YOLOv8,222,16.06,62.27,0.0,0.0,0.0,0.0,0.552,4
YOLOv8,223,17.42,57.41,0.0,0.0,0.0,0.0,0.6369,3
YOLOv8,224,15.56,64.28,0.0,0.0,0.0,0.0,0.564,4
YOLOv8,225,16.75,59.71,0.0,0.0,0.0,0.0,0.5586,4
YOLOv8,226,21.72,46.03,0.0,0.0,0.0,0.0,0.6511,3
YOLOv8,227,18.5,54.04,0.0,0.0,0.0,0.0,0.6613,3
YOLOv8,228,21.57,46.36,0.0,0.0,0.0,0.0,0.798,2
YOLOv8,229,21.03,47.56,0.0,0.0,0.0,0.0,0.6539,3
YOLOv8,230,17.8,56.19,0.0,0.0,0.0,0.0,0.8294,2
YOLOv8,231,17.13,58.36,0.0,0.0,0.0,0.0,0.8047,2
YOLOv8,232,17.23,58.02,0.0,0.0,0.0,0.0,0.5279,4
YOLOv8,233,19.75,50.62,0.0,0.0,0.0,0.0,0.5505,4
YOLOv8,234,31.45,31.8,0.0,0.0,0.0,0.0,0.6143,3
YOLOv8,235,22.32,44.81,0.0,0.0,0.0,0.0,0.6664,3
YOLOv8,236,16.86,59.31,0.0,0.0,0.0,0.0,0.6588,3
YOLOv8,237,25.04,39.93,0.0,0.0,0.0,0.0,0.6522,3
YOLOv8,238,24.52,40.79,0.0,0.0,0.0,0.0,0.6565,3
YOLOv8,239,18.02,55.49,0.0,0.0,0.0,0.0,0.6699,3
YOLOv8,240,15.3,65.38,0.0,0.0,0.0,0.0,0.8325,2
YOLOv8,241,18.03,55.47,0.0,0.0,0.0,0.0,0.8014,2
YOLOv8,242,16.44,60.84,0.0,0.0,0.0,0.0,0.6489,3
